2026-04-24 16:49:47,206 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:47,206 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:47,237 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:47,237 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:47,238 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:47,238 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:47,268 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:47,269 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:47,269 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:47,270 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:47,300 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:47,301 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:47,301 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:47,302 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:47,332 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:47,333 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:47,333 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:47,333 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:47,364 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:47,365 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:47,365 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:47,366 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:47,396 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:47,397 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:47,397 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:47,398 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:47,428 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:47,429 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:47,429 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:47,430 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:47,460 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:47,461 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:47,461 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
